id,gender,age,year,school,mar,mobile_bundle,income,job,region,phone_usage_per_m,telecom
10001,1,50,2017,5,2,2,1,2,1,29,1
10002,2,45,2017,5,2,2,1,2,1,29,1
20001,1,52,2017,5,2,1,10,1,1,62,2
30001,1,46,2017,5,2,2,8,1,8,39,3
30002,2,43,2017,4,2,2,1,2,8,22,4
30003,1,15,2017,3,1,2,1,2,8,18,4
40001,1,40,2017,4,2,2,12,1,8,80,3
40002,2,41,2017,5,2,2,10,1,8,80,1
40003,1,11,2017,2,1,2,1,2,8,11,1
40004,2,10,2017,2,1,2,1,2,8,11,1
50001,1,45,2017,5,2,2,11,1,8,33,1
50002,2,40,2017,5,2,2,1,2,8,33,1
50003,2,11,2017,2,1,2,1,2,8,11,4
50004,2,10,2017,2,1,2,1,2,8,11,4
60001,1,48,2017,5,2,1,9,1,8,38,1
60002,2,44,2017,4,2,1,4,1,8,34,1
60003,2,16,2017,4,1,2,1,2,8,34,1
60004,2,11,2017,2,1,1,1,2,8,34,1
90001,1,54,2017,5,2,2,6,1,8,25,1
90002,2,48,2017,4,2,2,1,2,8,25,1
100001,1,38,2017,5,2,2,8,1,8,50,2
100002,2,38,2017,6,2,2,8,1,8,67,2
120002,2,51,2017,4,2,1,5,1,1,58,2
120003,1,26,2017,5,1,1,6,1,1,75,1
120004,2,24,2017,5,1,2,1,2,1,76,1
130001,1,70,2017,3,2,2,3,2,1,67,1
150001,1,47,2017,5,2,2,9,1,1,45,1
150002,2,44,2017,4,2,2,1,2,1,40,1
160001,1,66,2017,3,2,1,6,1,1,65,1
160002,2,65,2017,3,2,1,4,1,1,49,1
180001,2,50,2017,4,4,2,7,1,1,60,2
190001,1,46,2017,5,2,2,10,1,1,45,1
190002,2,45,2017,4,2,2,1,2,1,40,1
200001,1,87,2017,4,2,2,4,2,1,40,2
200002,2,76,2017,3,2,2,1,2,1,40,2
210001,1,68,2017,2,2,1,1,2,1,40,3
210002,2,65,2017,2,2,1,1,2,1,50,2
220001,1,65,2017,4,2,2,6,1,1,52,3
220002,2,63,2017,4,2,2,1,2,1,60,3
230001,1,56,2017,5,2,1,10,1,1,55,2
230002,2,62,2017,4,2,1,1,2,1,55,1
240001,1,76,2017,3,2,2,6,1,1,40,1
240002,2,72,2017,3,2,2,4,1,1,40,1
250002,1,43,2017,5,1,2,7,1,1,75,1
260001,1,56,2017,5,2,2,10,1,1,50,1
260002,2,54,2017,4,2,2,1,2,1,40,1
270001,1,63,2017,4,2,1,5,1,1,60,3
270002,2,51,2017,4,2,1,5,1,1,52,3
290001,2,62,2017,4,2,2,1,2,1,38,3
290002,1,55,2017,4,2,2,7,1,1,40,1
290003,2,32,2017,5,1,2,5,1,1,50,1
300001,2,54,2017,4,4,2,10,1,1,40,1
300002,2,27,2017,5,1,2,3,1,1,50,1
300003,2,30,2017,5,1,2,4,1,1,60,1
300004,1,28,2017,4,1,2,5,1,1,62,1
310001,1,58,2017,4,2,2,6,1,1,40,1
310002,2,54,2017,4,2,2,4,1,1,40,1
310003,2,25,2017,5,1,2,5,1,1,75,1
310004,2,23,2017,5,1,2,5,1,1,40,1
340001,1,53,2017,5,2,2,8,1,1,40,1
340003,1,26,2017,5,1,2,5,1,1,50,1
340004,1,20,2017,5,1,2,1,2,1,40,1
350001,1,62,2017,4,2,2,4,2,1,40,1
350002,1,30,2017,5,1,2,6,1,1,55,1
350003,2,63,2017,4,2,2,1,2,1,50,1
360001,1,45,2017,5,2,2,9,1,8,65,1
360002,2,40,2017,5,2,1,1,2,8,62,1
370001,1,48,2017,5,2,1,8,1,8,72,1
370002,2,48,2017,4,2,2,1,2,8,52,1
380002,2,38,2017,6,2,2,5,1,8,60,2
390001,2,49,2017,4,2,1,1,2,5,69,1
390002,2,23,2017,5,1,1,1,2,5,35,1
390003,1,20,2017,5,1,1,1,2,5,45,2
390004,1,50,2017,5,2,1,15,1,5,35,1
400001,1,60,2017,4,2,2,8,1,4,35,3
400002,2,56,2017,3,2,2,6,1,4,35,3
410002,2,51,2017,4,4,2,4,1,4,69,1
410003,2,13,2017,3,1,2,1,2,4,13,2
420001,1,37,2017,4,2,1,7,1,4,75,2
420002,2,37,2017,4,2,1,1,2,4,75,2
420003,1,10,2017,2,1,1,1,2,4,25,2
430001,1,36,2017,4,2,1,7,1,4,65,1
430002,2,36,2017,4,2,1,7,1,4,65,1
440001,1,55,2017,5,2,2,1,2,4,34,2
440003,2,27,2017,5,1,2,5,1,4,56,1
440004,2,24,2017,5,1,2,1,2,4,60,3
450001,1,42,2017,4,2,1,10,1,4,32,2
450002,2,40,2017,4,2,1,1,2,4,32,2
450003,2,11,2017,2,1,1,1,2,4,11,2
450004,2,11,2017,2,1,1,1,2,4,11,2
450005,2,9,2017,2,1,1,1,2,4,19,2
460001,1,45,2017,5,2,1,8,1,1,65,1
460002,2,41,2017,4,2,1,6,1,1,65,2
470001,1,55,2017,4,2,2,8,1,1,60,1
470003,2,48,2017,4,2,2,4,1,1,55,1
490001,2,53,2017,4,2,2,6,1,1,65,2
490003,1,22,2017,5,1,1,1,2,1,70,1
500001,2,56,2017,4,4,2,6,1,1,60,2
520001,1,56,2017,4,2,1,10,1,1,65,2
520002,2,45,2017,4,2,2,1,2,1,45,2
530003,1,48,2017,4,2,2,7,1,1,78,1
530004,2,45,2017,4,2,2,5,1,1,60,1
540001,1,70,2017,3,2,2,4,1,1,55,1
540002,2,60,2017,3,2,2,1,2,1,60,1
550001,1,72,2017,2,4,2,3,1,1,70,3
550002,1,36,2017,4,2,2,6,1,1,60,1
550003,2,34,2017,4,2,2,5,1,1,65,1
560001,1,43,2017,5,2,2,11,1,1,60,1
560002,2,40,2017,4,2,2,1,2,1,57,3
570001,1,59,2017,4,2,2,6,1,1,65,3
570002,2,59,2017,4,2,2,5,1,1,55,1
590001,1,42,2017,4,1,1,8,1,1,60,1
600002,2,55,2017,3,2,1,1,2,1,50,1
600005,1,21,2017,5,1,1,1,2,1,60,1
610001,2,26,2017,5,1,2,5,1,1,60,1
620001,2,34,2017,5,1,2,7,1,1,50,2
630001,1,39,2017,5,2,2,11,1,1,60,1
630002,2,37,2017,4,2,2,1,2,1,55,1
640001,2,54,2017,4,2,2,5,1,1,50,2
660001,1,55,2017,4,2,1,1,2,1,25,2
660002,2,52,2017,5,2,1,5,1,1,54,2
660004,1,24,2017,5,1,1,1,2,1,54,2
670001,1,51,2017,5,2,2,15,1,1,29,1
670002,2,49,2017,5,2,2,1,2,1,29,1
690001,1,51,2017,6,2,2,13,1,1,47,3
690002,2,48,2017,5,2,2,1,2,1,59,3
700001,1,58,2017,5,2,1,7,1,1,29,1
700002,2,51,2017,4,2,1,6,1,1,29,1
710001,1,50,2017,5,2,1,10,1,1,59,2
710002,2,46,2017,4,2,1,1,2,1,59,2
720002,2,34,2017,5,2,2,1,2,1,59,2
730001,1,56,2017,5,2,1,16,1,1,65,3
730002,2,52,2017,5,2,1,1,2,1,39,3
730004,1,24,2017,5,1,1,1,2,1,34,3
740001,1,53,2017,5,2,2,11,1,1,59,2
740002,2,49,2017,4,2,2,1,2,1,59,3
750002,2,54,2017,5,2,2,1,2,1,69,1
750004,2,24,2017,5,1,2,1,2,1,69,1
760002,2,52,2017,4,2,1,7,1,1,55,2
810002,2,62,2017,4,2,1,4,1,1,75,2
810003,1,27,2017,5,1,1,1,2,1,80,2
820001,1,47,2017,5,2,1,11,1,8,69,1
