id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
10001,1,53,2020,5,2,11,1,1,41,2
10002,2,48,2020,5,2,1,2,1,37,2
10003,2,23,2020,5,1,7,1,1,51,2
10004,1,20,2020,5,1,1,2,1,31,2
20001,1,55,2020,5,2,9,1,1,41,2
20002,2,54,2020,2,2,5,1,1,43,1
20003,1,27,2020,6,1,8,1,1,51,2
30001,1,49,2020,5,2,9,1,8,41,2
30002,2,46,2020,4,2,1,2,8,38,2
30003,1,18,2020,4,1,1,2,8,17,2
30004,1,12,2020,2,1,1,2,8,7,2
40001,1,43,2020,4,2,14,1,8,68,1
40002,2,44,2020,5,2,1,2,8,60,1
40003,1,14,2020,3,1,1,2,8,15,1
40004,2,13,2020,3,1,1,2,8,20,1
50001,1,48,2020,5,2,11,1,8,25,1
50002,2,43,2020,5,2,1,2,8,25,1
50003,2,14,2020,3,1,1,2,8,25,1
50004,2,13,2020,3,1,1,2,8,25,1
60001,1,51,2020,5,2,10,1,8,33,1
60002,2,47,2020,4,2,5,1,8,30,1
60003,2,19,2020,5,1,1,2,8,33,1
60004,2,14,2020,3,1,1,2,8,31,1
80001,1,70,2020,4,3,2,2,8,17, 
90001,1,57,2020,5,2,6,1,8,38,1
100001,1,41,2020,5,2,8,1,8,66,2
100002,2,41,2020,6,2,8,1,8,45,2
100003,1,10,2020,2,1,1,2,8,21,2
130001,1,73,2020,3,2,1,2,1,23,2
130002,2,70,2020,3,2,3,2,1,25,2
140001,2,58,2020,4,3,5,1,1,50,1
160001,1,69,2020,3,2,5,1,1,5,1
160002,2,68,2020,3,2,1,2,1,25,1
180001,2,53,2020,4,3,5,1,1,45,3
220001,1,68,2020,4,2,8,1,1,69,1
220002,2,66,2020,4,2,7,2,1,35,1
230001,1,59,2020,5,2,8,1,1,33,2
230002,2,65,2020,4,2,1,2,1,44,3
230003,2,30,2020,5,1,7,1,1,43,1
260001,1,59,2020,5,2,6,1,1,33,2
260002,2,57,2020,4,2,1,2,1,44,3
260003,2,28,2020,5,1,7,1,1,49,2
260004,1,26,2020,5,1,7,1,1,69,1
270001,1,66,2020,4,2,5,1,1,33,1
270002,2,54,2020,4,2,6,1,1,33,1
290001,2,65,2020,4,2,1,2,1,35,2
290002,1,58,2020,4,2,7,1,1,50,1
290003,2,35,2020,5,1,7,1,1,55,1
300001,2,57,2020,4,3,5,1,1,38,1
300002,2,30,2020,5,1,5,1,1,80,1
300003,2,33,2020,5,1,5,1,1,55,2
300004,1,31,2020,4,1,5,1,1,80,1
310001,1,61,2020,4,2,7,1,1,40,1
310002,2,57,2020,4,2,5,1,1,40,1
310003,2,28,2020,5,1,7,1,1,60,1
310004,2,26,2020,5,1,5,1,1,60,1
320001,1,84,2020,2,2,2,2,1, , 
320002,2,83,2020,2,2,2,2,1,15, 
320003,1,49,2020,4,1,1,2,1,30,3
330001,2,81,2020,2,3,2,2,1,15, 
340001,1,56,2020,5,2,5,1,1,30, 
340003,1,29,2020,5,1,5,1,1,70,2
340004,1,23,2020,5,1,1,2,1,55,1
350001,1,65,2020,4,2,3,2,1,40,1
350002,1,33,2020,5,1,7,1,1,70,3
350003,2,66,2020,4,2,1,2,1,25,3
360001,1,48,2020,5,2,9,1,8,72,2
360002,2,43,2020,5,2,1,2,8,59,3
380001,1,43,2020,5,2,11,1,8,65,1
380002,2,41,2020,6,2,7,1,8,57,2
390001,2,52,2020,4,2,1,2,4,69,3
390002,2,26,2020,5,1,5,1,4,34,3
390003,1,23,2020,5,1,1,2,4,45,1
390004,1,53,2020,5,2,18,1,4,45,1
400001,1,63,2020,4,2,6,1,4,34,3
400002,2,59,2020,3,2,1,2,4,36,3
