id,gender,birth_year,mar,income,job,region,phone_usage_per_m,mobile_bundle,telecom,year,telcom_changed,churn_status_2,churn_status_num_2
10002,1,1972,2,1,0,1,3,0,1,2017,0,SKT_stay,1
10002,1,1972,2,1,0,1,4,1,1,2018,0,SKT_stay,1
10002,1,1972,2,1,0,1,6,1,1,2019,0,SKT_stay,1
10002,1,1972,2,1,0,1,4,1,2,2020,1,SKT_churned,10
10002,1,1972,2,1,0,1,4,1,2,2021,0,KT_stay,2
10002,1,1972,2,1,0,1,5,1,2,2022,0,KT_stay,2
10002,1,1972,2,1,0,1,5,1,2,2023,0,KT_stay,2
10002,1,1972,2,1,0,1,3,1,2,2024,0,KT_stay,2
10002,1,1972,2,1,0,1,5,1,2,2025,0,KT_stay,2
20001,0,1965,2,10,1,1,7,1,2,2017,0,KT_stay,2
20001,0,1965,2,8,1,1,7,0,2,2018,0,KT_stay,2
20001,0,1965,2,11,1,1,4,1,3,2019,1,KT_churned,20
20001,0,1965,2,9,1,1,5,1,2,2020,1,LGU_churned,30
20001,0,1965,2,9,1,1,6,1,1,2021,1,KT_churned,20
20001,0,1965,2,9,1,1,5,1,3,2022,1,SKT_churned,10
20001,0,1965,2,10,1,1,7,1,1,2023,1,LGU_churned,30
20001,0,1965,1,7,1,1,6,1,1,2024,0,SKT_stay,1
20001,0,1965,2,8,1,1,6,1,1,2025,0,SKT_stay,1
30001,0,1971,2,8,1,8,4,0,3,2017,0,LGU_stay,3
30001,0,1971,2,9,1,8,4,0,3,2018,0,LGU_stay,3
30001,0,1971,2,9,1,8,4,0,2,2019,1,LGU_churned,30
30001,0,1971,2,9,1,8,5,1,2,2020,0,KT_stay,2
30001,0,1971,2,10,1,8,4,0,2,2021,0,KT_stay,2
30001,0,1971,2,10,1,8,3,1,2,2022,0,KT_stay,2
30001,0,1971,2,11,1,8,3,1,2,2023,0,KT_stay,2
30001,0,1971,2,11,1,8,5,1,3,2024,1,KT_churned,20
30001,0,1971,2,11,1,8,5,1,3,2025,0,LGU_stay,3
30002,1,1974,2,1,0,8,3,0,4,2017,0,MVNO_stay,4
30002,1,1974,2,1,0,8,4,0,1,2018,1,MVNO_churned,40
30002,1,1974,2,1,0,8,4,0,2,2019,1,SKT_churned,10
30002,1,1974,2,1,0,8,4,1,2,2020,0,KT_stay,2
30002,1,1974,2,1,0,8,3,1,2,2021,0,KT_stay,2
30002,1,1974,2,1,0,8,1,1,2,2022,0,KT_stay,2
30002,1,1974,2,1,0,8,1,1,2,2023,0,KT_stay,2
30002,1,1974,2,1,0,8,4,1,3,2024,1,KT_churned,20
30002,1,1974,2,1,0,8,7,1,3,2025,0,LGU_stay,3
30003,0,2002,1,1,0,8,2,0,4,2017,0,MVNO_stay,4
30003,0,2002,1,1,0,8,5,0,2,2018,1,MVNO_churned,40
30003,0,2002,1,1,0,8,5,0,2,2019,0,KT_stay,2
30003,0,2002,1,1,0,8,2,1,2,2020,0,KT_stay,2
30003,0,2002,1,1,0,8,4,0,2,2021,0,KT_stay,2
30003,0,2002,1,1,0,8,4,1,2,2022,0,KT_stay,2
30003,0,2002,1,1,0,8,5,1,2,2023,0,KT_stay,2
30003,0,2002,1,1,0,8,5,1,2,2024,0,KT_stay,2
30003,0,2002,1,3,0,8,6,0,1,2025,1,KT_churned,20
50002,1,1977,2,1,0,8,4,0,1,2017,0,SKT_stay,1
50002,1,1977,2,1,0,8,3,0,1,2018,0,SKT_stay,1
50002,1,1977,2,1,0,8,3,1,1,2019,0,SKT_stay,1
50002,1,1977,2,1,0,8,3,1,1,2020,0,SKT_stay,1
50002,1,1977,2,1,0,8,3,1,1,2021,0,SKT_stay,1
50002,1,1977,2,1,0,8,3,1,1,2022,0,SKT_stay,1
50002,1,1977,2,1,0,8,1,1,1,2023,0,SKT_stay,1
50002,1,1977,2,1,0,8,1,1,1,2024,0,SKT_stay,1
50002,1,1977,2,1,0,8,2,1,1,2025,0,SKT_stay,1
50004,1,2007,1,1,0,8,2,0,4,2017,0,MVNO_stay,4
50004,1,2007,1,1,0,8,2,0,1,2018,1,MVNO_churned,40
50004,1,2007,1,1,0,8,2,1,1,2019,0,SKT_stay,1
50004,1,2007,1,1,0,8,3,1,1,2020,0,SKT_stay,1
50004,1,2007,1,1,0,8,2,1,1,2021,0,SKT_stay,1
50004,1,2007,1,1,0,8,3,1,1,2022,0,SKT_stay,1
50004,1,2007,1,1,0,8,3,1,1,2023,0,SKT_stay,1
50004,1,2007,1,1,0,8,3,1,1,2024,0,SKT_stay,1
50004,1,2007,1,1,0,8,3,1,1,2025,0,SKT_stay,1
60001,0,1969,2,9,1,8,4,1,1,2017,0,SKT_stay,1
60001,0,1969,2,10,1,8,4,1,1,2018,0,SKT_stay,1
60001,0,1969,2,10,1,8,4,0,1,2019,0,SKT_stay,1
60001,0,1969,2,10,1,8,4,1,1,2020,0,SKT_stay,1
60001,0,1969,2,11,1,8,4,1,1,2021,0,SKT_stay,1
60001,0,1969,2,11,1,8,5,1,1,2022,0,SKT_stay,1
60001,0,1969,2,11,1,8,4,1,1,2023,0,SKT_stay,1
60001,0,1969,2,11,1,8,4,1,1,2024,0,SKT_stay,1
60001,0,1969,2,10,1,8,5,1,2,2025,1,SKT_churned,10
60003,1,2001,1,1,0,8,4,0,1,2017,0,SKT_stay,1
60003,1,2001,1,1,0,8,4,1,1,2018,0,SKT_stay,1
60003,1,2001,1,1,0,8,4,0,1,2019,0,SKT_stay,1
60003,1,2001,1,1,0,8,4,1,1,2020,0,SKT_stay,1
60003,1,2001,1,1,0,8,3,0,1,2021,0,SKT_stay,1
60003,1,2001,1,1,0,8,3,1,1,2022,0,SKT_stay,1
60003,1,2001,1,2,0,8,3,1,1,2023,0,SKT_stay,1
60003,1,2001,1,3,1,8,3,1,1,2024,0,SKT_stay,1
60003,1,2001,1,1,0,8,6,1,2,2025,1,SKT_churned,10
100001,0,1979,2,8,1,8,6,0,2,2017,0,KT_stay,2
100001,0,1979,2,7,1,8,10,0,2,2018,0,KT_stay,2
100001,0,1979,2,8,1,8,7,0,2,2019,0,KT_stay,2
100001,0,1979,2,8,1,8,7,0,2,2020,0,KT_stay,2
100001,0,1979,2,8,1,8,5,0,2,2021,0,KT_stay,2
100001,0,1979,2,11,1,8,7,1,2,2022,0,KT_stay,2
100001,0,1979,2,8,1,8,4,1,2,2023,0,KT_stay,2
100001,0,1979,2,9,1,8,8,1,2,2024,0,KT_stay,2
100001,0,1979,2,10,1,8,6,1,2,2025,0,KT_stay,2
100002,1,1979,2,8,1,8,7,0,2,2017,0,KT_stay,2
100002,1,1979,2,8,1,8,6,0,2,2018,0,KT_stay,2
100002,1,1979,2,8,1,8,6,1,2,2019,0,KT_stay,2
100002,1,1979,2,8,1,8,5,1,2,2020,0,KT_stay,2
100002,1,1979,2,11,1,8,5,0,2,2021,0,KT_stay,2
100002,1,1979,2,11,1,8,4,1,2,2022,0,KT_stay,2
100002,1,1979,2,9,1,8,4,1,2,2023,0,KT_stay,2
100002,1,1979,2,10,1,8,4,1,2,2024,0,KT_stay,2
100002,1,1979,2,11,1,8,4,1,2,2025,0,KT_stay,2
130001,0,1947,2,3,0,1,7,0,1,2017,0,SKT_stay,1
130001,0,1947,2,3,0,1,3,0,1,2018,0,SKT_stay,1
130001,0,1947,2,3,0,1,3,0,3,2019,1,SKT_churned,10
130001,0,1947,2,1,0,1,3,1,2,2020,1,LGU_churned,30
130001,0,1947,2,1,0,1,3,1,2,2021,0,KT_stay,2
130001,0,1947,2,1,0,1,4,1,1,2022,1,KT_churned,20
130001,0,1947,2,1,0,1,3,1,1,2023,0,SKT_stay,1
130001,0,1947,2,1,0,1,3,1,2,2024,1,SKT_churned,10
130001,0,1947,2,2,0,1,2,1,1,2025,1,KT_churned,20
160001,0,1951,2,6,1,1,7,1,1,2017,0,SKT_stay,1
160001,0,1951,2,5,1,1,4,0,3,2018,1,SKT_churned,10
160001,0,1951,2,4,1,1,4,0,2,2019,1,LGU_churned,30
160001,0,1951,2,5,1,1,1,0,1,2020,1,KT_churned,20
160001,0,1951,2,4,1,1,3,0,1,2021,0,SKT_stay,1
160001,0,1951,2,6,1,1,4,1,1,2022,0,SKT_stay,1
160001,0,1951,2,6,1,1,3,1,2,2023,1,SKT_churned,10
160001,0,1951,2,6,1,1,3,1,2,2024,0,KT_stay,2
160001,0,1951,2,6,1,1,2,1,1,2025,1,KT_churned,20
160002,1,1952,2,4,1,1,5,1,1,2017,0,SKT_stay,1
160002,1,1952,2,4,1,1,3,0,1,2018,0,SKT_stay,1
160002,1,1952,2,2,0,1,1,0,2,2019,1,SKT_churned,10
160002,1,1952,2,1,0,1,3,0,1,2020,1,KT_churned,20
160002,1,1952,2,1,0,1,3,0,1,2021,0,SKT_stay,1
160002,1,1952,2,1,0,1,4,1,1,2022,0,SKT_stay,1
160002,1,1952,2,1,0,1,2,1,2,2023,1,SKT_churned,10
160002,1,1952,2,1,0,1,3,1,2,2024,0,KT_stay,2
160002,1,1952,2,1,0,1,2,1,1,2025,1,KT_churned,20
180001,1,1967,4,7,1,1,7,0,2,2017,0,KT_stay,2
180001,1,1967,4,5,1,1,6,0,2,2018,0,KT_stay,2
180001,1,1967,4,4,1,1,4,0,1,2019,1,KT_churned,20
180001,1,1967,3,5,1,1,5,0,3,2020,1,SKT_churned,10
180001,1,1967,4,5,1,1,5,0,1,2021,1,LGU_churned,30
180001,1,1967,4,5,1,1,4,1,1,2022,0,SKT_stay,1
180001,1,1967,4,5,1,1,3,1,1,2023,0,SKT_stay,1
180001,1,1967,4,6,1,1,3,1,1,2024,0,SKT_stay,1
180001,1,1967,4,7,1,1,3,1,2,2025,1,SKT_churned,10
220001,0,1952,2,6,1,1,6,0,3,2017,0,LGU_stay,3
